,Cone_Type,Cone_X,Cone_Y
0,LEFT,7.96875,8.6875
1,LEFT,9.4375,8.125
2,LEFT,10.5,6.875
3,LEFT,10.84375,5.28125
4,LEFT,10.8125,3.6875
5,LEFT,9.625,2.59375
6,LEFT,8.0,2.5
7,LEFT,6.40625,2.4375
8,LEFT,4.75,2.5
9,LEFT,3.1875,2.6875
10,LEFT,1.625,2.9375
11,LEFT,0.03125,3.0
12,LEFT,-1.65625,3.03125
13,LEFT,-3.28125,3.125
14,LEFT,-4.8125,3.5
35,RIGHT,7.5,11.65625
36,RIGHT,9.0625,11.21875
37,RIGHT,10.5625,10.625
38,RIGHT,11.96875,9.90625
39,RIGHT,12.8125,8.3125
40,RIGHT,13.375,6.65625
41,RIGHT,13.65625,4.96875
42,RIGHT,13.625,3.40625
43,RIGHT,13.03125,1.9375
44,RIGHT,11.71875,0.875
45,RIGHT,10.15625,0.59375
46,RIGHT,8.4375,0.4375
47,RIGHT,6.84375,0.4375
48,RIGHT,5.1875,0.65625
49,RIGHT,3.625,0.875
50,RIGHT,2.03125,0.84375
51,RIGHT,0.4375,0.84375
52,RIGHT,-1.1875,0.84375
53,RIGHT,-2.78125,0.90625
54,RIGHT,-4.4375,1.09375
55,RIGHT,-6.125,1.375
56,RIGHT,-7.71875,1.5625
57,RIGHT,-9.28125,2.21875
58,RIGHT,-10.375,3.4375
59,RIGHT,-10.8125,5.0
