,Cone_Type,Cone_X,Cone_Y
0,LEFT,14.09375,1.71875
1,LEFT,15.5,1.03125
2,LEFT,16.9375,0.40625
3,LEFT,18.1875,-0.59375
4,LEFT,19.125,-1.84375
5,LEFT,20.03125,-3.125
6,LEFT,21.40625,-3.90625
7,LEFT,22.9375,-4.40625
8,LEFT,24.4375,-4.84375
9,LEFT,26.03125,-5.0625
10,LEFT,27.625,-5.25
11,LEFT,29.28125,-5.21875
12,LEFT,30.84375,-5.0625
13,LEFT,32.40625,-4.96875
14,LEFT,33.875,-4.34375
15,LEFT,35.34375,-3.78125
16,LEFT,36.5625,-2.78125
17,LEFT,37.71875,-1.6875
18,LEFT,38.28125,-0.1875
19,LEFT,38.46875,1.375
20,LEFT,38.03125,2.875
21,LEFT,37.21875,4.21875
22,LEFT,37.4375,5.78125
23,LEFT,39.03125,6.0625
24,LEFT,40.5625,6.5625
25,LEFT,41.09375,8.0625
26,LEFT,41.21875,9.625
27,LEFT,41.1875,11.1875
28,LEFT,40.84375,12.78125
29,LEFT,39.96875,14.09375
30,LEFT,38.875,15.21875
31,LEFT,38.59375,16.78125
32,LEFT,38.78125,18.34375
33,LEFT,39.625,19.6875
34,LEFT,40.5,21.0
35,LEFT,41.25,22.375
36,LEFT,41.0,23.9375
37,LEFT,39.875,25.0625
38,LEFT,38.78125,26.1875
39,LEFT,37.65625,27.28125
40,LEFT,36.25,27.96875
41,LEFT,34.71875,28.53125
42,LEFT,33.09375,28.59375
43,LEFT,31.53125,28.40625
44,LEFT,30.0,27.96875
45,LEFT,28.40625,27.6875
46,LEFT,26.90625,27.15625
47,LEFT,25.5,26.4375
48,LEFT,24.125,25.625
49,LEFT,22.6875,26.25
50,LEFT,21.40625,27.15625
51,LEFT,19.90625,27.78125
52,LEFT,18.34375,28.09375
53,LEFT,16.75,28.03125
54,LEFT,15.21875,27.5625
55,LEFT,13.75,26.875
56,LEFT,12.25,26.4375
57,LEFT,10.6875,26.1875
58,LEFT,9.125,26.3125
59,LEFT,7.5625,26.375
60,LEFT,6.0,26.71875
61,LEFT,4.65625,27.5625
62,LEFT,3.28125,28.3125
63,LEFT,1.8125,28.96875
64,LEFT,0.375,29.59375
65,LEFT,-1.03125,30.3125
66,LEFT,-2.28125,29.3125
67,LEFT,-3.0,27.84375
68,LEFT,-3.84375,26.5
69,LEFT,-4.6875,25.15625
70,LEFT,-5.34375,23.71875
71,LEFT,-5.71875,22.1875
72,LEFT,-5.875,20.625
73,LEFT,-6.09375,19.0625
74,LEFT,-6.21875,17.5
75,LEFT,-5.625,15.96875
76,LEFT,-4.75,14.65625
77,LEFT,-3.8125,13.40625
78,LEFT,-2.375,12.625
79,LEFT,-0.875,12.0
80,LEFT,0.09375,10.75
81,LEFT,0.09375,9.1875
82,LEFT,0.0625,7.625
83,LEFT,1.5,7.0
84,LEFT,2.90625,6.25
85,LEFT,4.3125,5.53125
86,LEFT,5.90625,5.25
87,LEFT,7.4375,4.6875
88,LEFT,9.0,3.96875
89,LEFT,10.0625,2.8125
90,LEFT,11.3125,1.8125
91,RIGHT,14.625,4.375
92,RIGHT,16.1875,4.375
93,RIGHT,17.65625,3.8125
94,RIGHT,18.75,2.6875
95,RIGHT,19.875,1.46875
96,RIGHT,20.625,0.09375
97,RIGHT,21.875,-0.875
98,RIGHT,23.375,-1.34375
99,RIGHT,24.9375,-1.625
100,RIGHT,26.5,-1.8125
101,RIGHT,28.0625,-1.875
102,RIGHT,29.65625,-1.875
103,RIGHT,31.21875,-1.71875
104,RIGHT,32.84375,-1.40625
105,RIGHT,34.28125,-0.78125
106,RIGHT,35.1875,0.5
107,RIGHT,34.96875,2.0625
108,RIGHT,34.21875,3.5
109,RIGHT,33.09375,4.59375
110,RIGHT,33.15625,6.15625
111,RIGHT,34.21875,7.34375
