,Cone_Type,Cone_X,Cone_Y
0,LEFT,24.03125,2.375
1,LEFT,25.75,2.59375
2,LEFT,27.5625,3.0625
3,LEFT,29.03125,3.65625
4,LEFT,30.5625,4.65625
5,LEFT,31.9375,5.71875
6,LEFT,32.875,6.96875
7,LEFT,33.375,8.5
8,LEFT,33.03125,10.03125
9,LEFT,31.46875,10.78125
10,LEFT,29.875,10.71875
11,LEFT,28.1875,10.625
12,LEFT,26.4375,10.875
13,LEFT,24.65625,11.15625
14,LEFT,23.1875,11.78125
15,LEFT,23.28125,13.40625
16,LEFT,24.65625,14.625
17,LEFT,26.0625,15.4375
18,LEFT,27.21875,16.6875
19,LEFT,27.90625,18.09375
20,LEFT,27.15625,19.5625
21,LEFT,25.59375,20.125
22,LEFT,23.6875,20.84375
23,LEFT,22.1875,21.4375
24,RIGHT,21.34375,4.3125
25,RIGHT,22.6875,5.125
26,RIGHT,24.21875,5.6875
27,RIGHT,25.75,6.1875
28,RIGHT,27.25,6.625
29,RIGHT,26.21875,8.03125
30,RIGHT,24.5625,8.59375
31,RIGHT,22.96875,8.71875
32,RIGHT,21.46875,9.28125
33,RIGHT,20.28125,10.34375
34,RIGHT,19.46875,11.75
35,RIGHT,19.375,13.375
36,RIGHT,20.0,14.875
37,RIGHT,21.4375,15.84375
38,RIGHT,22.75,16.71875
39,RIGHT,23.09375,18.28125
40,RIGHT,21.40625,18.90625
41,RIGHT,19.78125,19.59375
42,RIGHT,18.25,20.09375
