,Cone_Type,Cone_X,Cone_Y
0,LEFT,15.21875,1.8125
1,LEFT,16.875,1.96875
2,LEFT,18.5,1.90625
3,LEFT,20.0625,1.8125
4,LEFT,21.78125,1.8125
5,LEFT,23.59375,1.8125
6,LEFT,25.25,1.875
7,LEFT,26.9375,1.8125
8,LEFT,28.5625,1.71875
9,LEFT,30.34375,1.71875
10,LEFT,31.9375,1.71875
11,LEFT,33.5625,1.75
12,LEFT,35.125,2.0
13,LEFT,36.5,2.78125
14,LEFT,37.21875,4.21875
15,LEFT,37.625,5.78125
16,LEFT,37.71875,7.4375
17,LEFT,37.875,9.09375
18,LEFT,37.90625,10.6875
19,LEFT,37.875,12.28125
20,LEFT,37.90625,13.9375
21,LEFT,37.84375,15.59375
22,LEFT,37.59375,17.25
23,LEFT,37.1875,18.8125
24,LEFT,36.25,20.0625
25,LEFT,34.78125,20.90625
26,LEFT,33.21875,21.25
27,LEFT,31.59375,21.34375
28,LEFT,30.0,21.375
29,LEFT,28.40625,21.0625
30,LEFT,27.1875,20.03125
31,LEFT,26.40625,18.65625
32,LEFT,26.0625,17.0625
33,LEFT,25.65625,15.28125
34,LEFT,25.34375,13.6875
35,LEFT,24.78125,12.21875
36,LEFT,23.5625,11.15625
37,LEFT,21.9375,10.625
38,LEFT,20.28125,10.40625
39,LEFT,18.5625,10.5
40,LEFT,17.0,11.0625
41,LEFT,15.78125,12.21875
42,LEFT,15.03125,13.65625
43,LEFT,14.53125,15.21875
44,LEFT,14.21875,16.78125
45,LEFT,13.46875,18.21875
46,LEFT,12.5625,19.5
47,LEFT,11.125,20.21875
48,LEFT,9.5625,20.9375
49,LEFT,7.9375,21.5
50,LEFT,6.28125,21.71875
51,LEFT,4.6875,21.1875
52,LEFT,3.5,20.15625
53,LEFT,2.40625,18.6875
54,LEFT,1.75,16.9375
55,LEFT,1.65625,15.3125
56,LEFT,1.65625,13.75
57,LEFT,1.71875,12.15625
58,LEFT,1.625,10.40625
59,LEFT,1.6875,8.8125
60,LEFT,1.96875,7.09375
61,LEFT,2.71875,5.71875
62,LEFT,4.03125,4.625
63,LEFT,5.40625,3.71875
64,LEFT,6.84375,3.0625
65,LEFT,8.375,2.625
66,LEFT,9.9375,2.1875
67,LEFT,11.6875,1.9375
68,LEFT,13.25,1.78125
69,RIGHT,14.84375,3.84375
70,RIGHT,16.4375,3.6875
71,RIGHT,18.1875,3.65625
72,RIGHT,19.78125,3.625
73,RIGHT,21.46875,3.6875
74,RIGHT,23.09375,3.625
75,RIGHT,24.6875,3.5
76,RIGHT,26.40625,3.5625
77,RIGHT,27.96875,3.53125
78,RIGHT,29.59375,3.4375
79,RIGHT,31.15625,3.4375
80,RIGHT,32.71875,3.5
81,RIGHT,34.3125,3.6875
82,RIGHT,35.46875,4.8125
83,RIGHT,35.90625,6.375
84,RIGHT,35.96875,8.0
85,RIGHT,36.03125,9.59375
86,RIGHT,36.03125,11.15625
87,RIGHT,36.0,12.84375
88,RIGHT,35.90625,14.4375
89,RIGHT,35.71875,16.0
90,RIGHT,35.375,17.59375
91,RIGHT,34.4375,18.84375
92,RIGHT,32.90625,19.59375
93,RIGHT,31.3125,19.75
94,RIGHT,29.75,19.15625
95,RIGHT,28.65625,17.96875
96,RIGHT,28.125,16.4375
97,RIGHT,27.84375,14.75
98,RIGHT,27.46875,13.0625
99,RIGHT,26.875,11.46875
100,RIGHT,25.9375,10.21875
101,RIGHT,24.59375,9.375
102,RIGHT,23.0625,8.78125
103,RIGHT,21.34375,8.4375
104,RIGHT,19.53125,8.375
105,RIGHT,18.0,8.6875
106,RIGHT,16.40625,9.4375
107,RIGHT,15.09375,10.40625
108,RIGHT,14.125,11.75
109,RIGHT,13.34375,13.40625
110,RIGHT,12.65625,14.9375
111,RIGHT,12.1875,16.46875
112,RIGHT,11.0,17.75
113,RIGHT,9.65625,18.5625
114,RIGHT,8.03125,19.0625
115,RIGHT,6.4375,19.40625
116,RIGHT,4.8125,19.0625
117,RIGHT,3.90625,17.78125
118,RIGHT,3.59375,16.21875
119,RIGHT,3.40625,14.40625
120,RIGHT,3.28125,12.8125
121,RIGHT,3.28125,11.09375
122,RIGHT,3.53125,9.53125
123,RIGHT,4.09375,8.0
124,RIGHT,5.09375,6.375
125,RIGHT,6.3125,5.375
126,RIGHT,7.84375,4.75
127,RIGHT,9.40625,4.3125
128,RIGHT,10.96875,4.125
129,RIGHT,12.625,4.0
