,Cone_Type,Cone_X,Cone_Y
0,LEFT,15.84375,2.46875
1,LEFT,17.53125,2.34375
2,LEFT,19.15625,2.40625
3,LEFT,21.0,2.46875
4,LEFT,22.71875,2.46875
5,LEFT,24.34375,2.5625
6,LEFT,25.90625,2.625
7,LEFT,27.625,2.65625
8,LEFT,29.28125,2.71875
9,LEFT,30.90625,2.78125
10,LEFT,32.28125,3.59375
11,LEFT,32.4375,5.46875
12,LEFT,32.4375,8.125
13,LEFT,32.4375,9.75
14,LEFT,32.3125,13.03125
15,LEFT,32.1875,15.0
16,LEFT,31.90625,16.78125
17,LEFT,31.78125,18.75
18,LEFT,31.71875,20.625
19,LEFT,31.6875,22.1875
20,RIGHT,16.84375,3.84375
21,RIGHT,20.1875,3.875
22,RIGHT,18.53125,3.9375
23,RIGHT,21.96875,3.90625
24,RIGHT,23.65625,3.96875
25,RIGHT,25.34375,4.09375
26,RIGHT,28.84375,4.25
27,RIGHT,27.1875,4.21875
28,RIGHT,30.25,5.0
29,RIGHT,30.53125,6.59375
30,RIGHT,30.53125,8.21875
31,RIGHT,30.59375,9.875
32,RIGHT,30.5625,11.4375
33,RIGHT,30.375,13.03125
34,RIGHT,30.03125,14.59375
35,RIGHT,30.34375,16.25
36,RIGHT,30.34375,17.8125
37,RIGHT,30.1875,19.4375
38,RIGHT,29.96875,21.03125
