,Cone_Type,Cone_X,Cone_Y
0,LEFT,19.25,1.9375
1,LEFT,20.84375,2.09375
2,LEFT,22.4375,2.1875
3,LEFT,24.0625,2.59375
4,LEFT,25.78125,2.875
5,LEFT,27.34375,3.0625
6,LEFT,28.96875,3.5625
7,LEFT,30.375,4.3125
8,LEFT,31.625,5.40625
9,LEFT,32.71875,6.8125
10,LEFT,33.4375,8.34375
11,LEFT,33.90625,9.90625
12,LEFT,34.09375,11.5
13,LEFT,34.09375,13.09375
14,LEFT,33.75,14.75
15,LEFT,33.09375,16.28125
16,LEFT,32.1875,17.75
17,LEFT,30.90625,18.6875
18,LEFT,29.21875,19.3125
19,LEFT,27.625,19.5625
20,LEFT,26.0,19.59375
21,LEFT,24.34375,19.5
22,LEFT,22.53125,19.21875
23,LEFT,20.84375,19.09375
24,RIGHT,18.96875,3.96875
25,RIGHT,20.5625,4.28125
26,RIGHT,22.21875,4.6875
27,RIGHT,23.8125,4.75
28,RIGHT,25.34375,5.0625
29,RIGHT,26.90625,5.5
30,RIGHT,28.4375,6.09375
31,RIGHT,29.8125,7.03125
32,RIGHT,31.0,8.125
33,RIGHT,31.59375,9.65625
34,RIGHT,32.03125,11.1875
35,RIGHT,32.0625,12.84375
36,RIGHT,31.96875,14.46875
37,RIGHT,31.375,15.96875
38,RIGHT,30.1875,17.09375
39,RIGHT,28.6875,17.625
40,RIGHT,27.09375,17.875
41,RIGHT,25.4375,18.0
42,RIGHT,23.8125,17.9375
43,RIGHT,22.21875,17.65625
44,RIGHT,20.625,17.4375
