,Cone_Type,Cone_X,Cone_Y
0,LEFT,15.5625,1.5625
1,LEFT,17.1875,1.625
2,LEFT,18.78125,1.46875
3,LEFT,20.4375,1.4375
4,LEFT,22.03125,1.4375
5,LEFT,23.6875,1.4375
6,LEFT,25.375,1.4375
7,LEFT,27.03125,1.5
8,LEFT,28.59375,1.5
9,LEFT,30.21875,1.5625
10,LEFT,31.8125,1.5625
11,LEFT,33.375,1.9375
12,LEFT,34.65625,2.875
13,LEFT,35.40625,4.28125
14,LEFT,35.6875,5.9375
15,LEFT,35.71875,7.53125
16,LEFT,35.8125,9.09375
17,LEFT,35.9375,10.71875
18,LEFT,35.96875,12.34375
19,LEFT,35.90625,13.9375
20,LEFT,35.625,15.5625
21,LEFT,34.9375,17.09375
22,LEFT,33.78125,18.25
23,LEFT,32.25,18.96875
24,LEFT,30.28125,19.3125
25,LEFT,28.6875,19.5
26,LEFT,26.9375,19.53125
27,LEFT,25.375,19.46875
28,LEFT,23.78125,19.46875
29,LEFT,21.90625,19.4375
30,LEFT,20.1875,19.34375
31,LEFT,18.59375,19.34375
32,LEFT,17.03125,19.40625
33,LEFT,15.4375,19.4375
34,LEFT,13.6875,19.53125
35,LEFT,12.125,19.5625
36,LEFT,10.5,19.5625
37,LEFT,8.46875,19.40625
38,LEFT,6.84375,19.375
39,LEFT,5.59375,18.4375
40,LEFT,5.09375,16.875
41,LEFT,4.84375,15.28125
42,LEFT,4.78125,13.6875
43,LEFT,4.75,11.9375
44,LEFT,4.625,10.34375
45,LEFT,4.5,8.75
46,LEFT,4.5,7.09375
47,LEFT,4.53125,5.40625
48,LEFT,4.78125,3.84375
49,LEFT,5.71875,2.53125
50,LEFT,7.1875,1.84375
51,LEFT,8.75,1.59375
52,LEFT,10.34375,1.46875
53,LEFT,11.96875,1.4375
54,LEFT,13.5625,1.4375
55,RIGHT,15.0,4.125
56,RIGHT,16.59375,4.03125
57,RIGHT,18.15625,3.875
58,RIGHT,19.71875,3.78125
59,RIGHT,21.28125,3.75
60,RIGHT,22.90625,3.75
61,RIGHT,24.46875,3.6875
62,RIGHT,26.125,3.65625
63,RIGHT,27.6875,3.65625
64,RIGHT,29.3125,3.75
65,RIGHT,30.875,3.875
66,RIGHT,32.4375,4.25
67,RIGHT,33.15625,5.65625
68,RIGHT,33.25,7.21875
69,RIGHT,33.3125,8.78125
70,RIGHT,33.40625,10.40625
71,RIGHT,33.46875,12.03125
72,RIGHT,33.375,13.65625
73,RIGHT,33.0625,15.21875
74,RIGHT,32.0,16.375
75,RIGHT,30.53125,17.03125
76,RIGHT,28.9375,17.34375
77,RIGHT,27.21875,17.53125
78,RIGHT,25.59375,17.71875
79,RIGHT,24.03125,17.78125
80,RIGHT,22.4375,17.8125
81,RIGHT,20.8125,17.75
82,RIGHT,19.21875,17.59375
83,RIGHT,17.65625,17.59375
84,RIGHT,16.03125,17.59375
85,RIGHT,14.46875,17.59375
86,RIGHT,12.875,17.5625
87,RIGHT,11.28125,17.53125
88,RIGHT,9.65625,17.5
89,RIGHT,8.375,16.53125
90,RIGHT,7.75,15.03125
91,RIGHT,7.40625,13.5
92,RIGHT,7.21875,11.90625
93,RIGHT,6.90625,10.375
94,RIGHT,6.71875,8.78125
95,RIGHT,6.71875,7.1875
96,RIGHT,6.90625,5.5625
97,RIGHT,7.90625,4.34375
98,RIGHT,9.40625,3.90625
99,RIGHT,11.03125,3.6875
100,RIGHT,12.65625,3.65625
