cone ID,leftOrRight,Xpos,Ypos,prev ID,next ID,coneData
3,RIGHT,2.6,5.37,-1,4,
4,RIGHT,4.43,4.27,3,5,
5,RIGHT,5.87,3.2,4,6,
6,RIGHT,8.33,1.43,5,7,
7,RIGHT,12.57,0.47,6,8,
8,RIGHT,17.43,1.1,7,18,
18,RIGHT,18.97,1.27,8,19,
19,RIGHT,20.27,1.53,18,21,
21,RIGHT,22.5,2.43,19,22,
22,RIGHT,23.9,1.63,21,-1,
0,LEFT,2.8,7.7,-1,2,
1,LEFT,9.33,7.0,2,9,
2,LEFT,6.23,7.5,0,1,
9,LEFT,11.33,6.7,1,10,
10,LEFT,12.07,6.7,9,11,
11,LEFT,12.67,6.7,10,12,
12,LEFT,13.13,6.7,11,13,
13,LEFT,14.3,6.77,12,14,
14,LEFT,15.3,6.57,13,15,
15,LEFT,16.73,6.5,14,16,
16,LEFT,17.8,6.53,15,17,
17,LEFT,19.5,6.6,16,20,
20,LEFT,19.93,7.77,17,-1,
