cone ID,leftOrRight,Xpos,Ypos,prev ID,next ID,coneData
0,LEFT,1.85,8.55,47,1,
1,LEFT,2.1,10.0,0,2,
2,LEFT,2.3,13.7,1,3,
3,LEFT,2.55,17.05,2,4,
4,LEFT,3.3,20.2,3,5,
5,LEFT,4.85,23.0,4,6,
6,LEFT,7.65,25.1,5,7,
7,LEFT,11.25,26.15,6,8,
8,LEFT,15.55,26.5,7,9,
9,LEFT,19.25,25.7,8,10,
10,LEFT,21.8,22.65,9,11,
11,LEFT,23.2,18.65,10,12,
12,LEFT,23.45,14.15,11,13,
13,LEFT,23.85,10.75,12,14,
14,LEFT,24.15,9.95,13,15,
15,LEFT,24.65,9.6,14,16,
16,LEFT,25.2,9.5,15,17,
17,LEFT,25.65,9.6,16,18,
18,LEFT,26.1,10.1,17,19,
19,LEFT,26.35,11.05,18,20,
20,LEFT,26.55,13.3,19,21,
21,LEFT,26.65,16.25,20,22,
22,LEFT,26.8,19.25,21,23,
23,LEFT,27.35,22.7,22,24,
24,LEFT,28.95,25.0,23,25,
25,LEFT,31.7,26.75,24,26,
26,LEFT,35.15,27.65,25,27,
27,LEFT,38.35,28.05,26,28,
28,LEFT,41.85,27.95,27,29,
29,LEFT,45.0,27.2,28,30,
30,LEFT,46.95,24.5,29,31,
31,LEFT,47.25,20.75,30,32,
32,LEFT,47.55,17.15,31,33,
33,LEFT,47.9,13.35,32,34,
34,LEFT,47.95,9.45,33,35,
35,LEFT,47.9,5.7,34,36,
36,LEFT,45.9,2.45,35,37,
37,LEFT,41.65,1.25,36,38,
38,LEFT,36.95,1.0,37,39,
39,LEFT,32.7,0.9,38,40,
40,LEFT,27.8,0.9,39,41,
41,LEFT,23.6,0.85,40,42,
42,LEFT,19.7,0.8,41,43,
43,LEFT,15.45,0.9,42,44,
44,LEFT,11.4,0.9,43,45,
45,LEFT,7.05,1.4,44,46,
46,LEFT,3.6,2.95,45,47,
47,LEFT,2.35,5.45,46,0,['finish']
48,RIGHT,6.6,8.6,-1,49,
49,RIGHT,6.75,11.95,48,50,
50,RIGHT,7.1,14.9,49,51,
51,RIGHT,7.9,17.5,50,52,
52,RIGHT,9.3,19.2,51,53,
53,RIGHT,11.35,20.05,52,54,
54,RIGHT,12.5,20.0,53,55,
55,RIGHT,13.4,19.9,54,56,
56,RIGHT,14.5,19.1,55,57,
57,RIGHT,15.55,17.35,56,58,
58,RIGHT,16.35,14.55,57,59,
59,RIGHT,16.65,11.3,58,60,
60,RIGHT,16.85,8.9,59,61,
61,RIGHT,18.8,6.9,60,62,
62,RIGHT,20.85,5.45,61,63,
63,RIGHT,22.8,5.0,62,64,
64,RIGHT,25.45,5.0,63,65,
65,RIGHT,27.5,5.9,64,66,
66,RIGHT,29.5,7.25,65,67,
67,RIGHT,31.3,8.75,66,68,
68,RIGHT,31.75,11.3,67,69,
69,RIGHT,32.0,14.15,68,70,
70,RIGHT,32.25,16.95,69,71,
71,RIGHT,32.75,20.2,70,72,
72,RIGHT,35.15,21.8,71,73,
73,RIGHT,37.9,22.3,72,74,
74,RIGHT,41.15,21.9,73,75,
75,RIGHT,41.8,19.4,74,76,
76,RIGHT,41.9,16.05,75,77,
77,RIGHT,41.95,12.9,76,78,
78,RIGHT,41.95,10.0,77,79,
79,RIGHT,41.4,7.45,78,80,
80,RIGHT,39.6,6.35,79,81,
81,RIGHT,36.3,5.3,80,82,
82,RIGHT,32.1,4.65,81,83,
83,RIGHT,27.55,4.4,82,84,
84,RIGHT,24.25,4.35,83,85,
85,RIGHT,19.55,4.5,84,86,
86,RIGHT,15.3,4.75,85,87,
87,RIGHT,12.1,4.9,86,88,
88,RIGHT,10.2,5.4,87,89,
89,RIGHT,8.45,6.15,88,90,
90,RIGHT,7.6,7.2,89,-1,['finish']
