,Cone_Type,Cone_X,Cone_Y
0,LEFT,7.75,8.625
1,LEFT,9.34375,8.59375
2,LEFT,10.84375,9.125
3,LEFT,11.96875,10.28125
4,LEFT,12.59375,11.75
5,LEFT,12.875,13.3125
6,LEFT,13.5625,14.8125
7,LEFT,14.5625,16.09375
8,LEFT,16.0,16.75
9,LEFT,17.59375,17.03125
10,LEFT,19.15625,17.03125
11,LEFT,20.78125,17.1875
12,LEFT,22.375,17.5625
13,LEFT,23.84375,18.125
14,LEFT,24.875,19.375
15,LEFT,25.40625,20.90625
16,LEFT,26.09375,22.3125
17,LEFT,26.9375,23.71875
18,LEFT,28.21875,24.625
19,LEFT,29.71875,25.28125
20,LEFT,30.90625,26.375
21,LEFT,31.34375,27.875
22,LEFT,31.4375,29.53125
23,LEFT,31.125,31.1875
24,LEFT,30.53125,32.6875
25,LEFT,29.375,33.78125
26,LEFT,27.96875,34.8125
27,LEFT,26.46875,35.5
28,LEFT,24.90625,35.75
29,LEFT,23.3125,35.875
30,LEFT,21.65625,35.9375
31,LEFT,19.875,35.9375
32,LEFT,18.28125,35.9375
33,LEFT,16.6875,35.875
34,LEFT,15.15625,35.53125
35,LEFT,13.65625,35.09375
36,LEFT,12.1875,34.5
37,LEFT,10.84375,33.65625
38,LEFT,9.625,32.625
39,LEFT,8.84375,31.25
40,LEFT,8.625,29.6875
41,LEFT,8.375,28.09375
42,LEFT,7.40625,26.78125
43,LEFT,5.875,26.46875
44,LEFT,4.34375,26.84375
45,LEFT,2.9375,27.59375
46,LEFT,1.71875,28.78125
47,LEFT,0.28125,29.625
48,LEFT,-1.4375,30.15625
49,LEFT,-3.15625,30.5625
50,LEFT,-4.71875,30.4375
51,LEFT,-6.3125,29.84375
52,LEFT,-7.75,29.1875
53,LEFT,-8.40625,27.65625
54,LEFT,-9.03125,26.0
55,LEFT,-9.53125,24.4375
56,LEFT,-10.53125,23.15625
57,LEFT,-12.0625,22.71875
58,LEFT,-13.71875,22.53125
59,LEFT,-15.28125,21.90625
60,LEFT,-16.8125,21.125
61,LEFT,-18.03125,20.09375
62,LEFT,-18.6875,18.46875
63,LEFT,-19.15625,16.9375
64,LEFT,-19.21875,15.3125
65,LEFT,-19.15625,13.71875
66,LEFT,-18.78125,12.125
67,LEFT,-17.9375,10.65625
68,LEFT,-16.9375,9.4375
69,LEFT,-15.625,8.53125
70,LEFT,-14.15625,7.78125
71,LEFT,-12.40625,7.375
72,LEFT,-10.75,7.25
73,LEFT,-8.90625,7.1875
74,LEFT,-7.21875,7.3125
75,LEFT,-5.625,7.5625
76,LEFT,-4.03125,7.875
77,LEFT,-2.40625,8.0625
78,LEFT,-0.6875,8.0625
79,LEFT,0.875,8.15625
80,LEFT,2.53125,8.25
81,LEFT,4.1875,8.4375
82,LEFT,5.84375,8.46875
83,RIGHT,7.5,11.0625
84,RIGHT,9.0625,11.21875
85,RIGHT,10.375,12.09375
86,RIGHT,10.84375,13.625
87,RIGHT,10.90625,15.1875
88,RIGHT,11.5,16.71875
89,RIGHT,12.59375,17.96875
90,RIGHT,13.9375,18.78125
91,RIGHT,15.53125,19.1875
92,RIGHT,17.09375,19.46875
93,RIGHT,18.6875,19.5
94,RIGHT,20.25,19.5625
95,RIGHT,21.78125,19.96875
96,RIGHT,22.9375,21.03125
97,RIGHT,23.71875,22.40625
98,RIGHT,23.9375,24.0
99,RIGHT,24.71875,25.375
100,RIGHT,26.0625,26.21875
101,RIGHT,27.5,26.84375
102,RIGHT,28.71875,27.875
103,RIGHT,28.96875,29.46875
104,RIGHT,28.4375,31.0
105,RIGHT,27.09375,32.09375
106,RIGHT,25.71875,32.84375
107,RIGHT,24.28125,33.46875
108,RIGHT,22.6875,33.65625
109,RIGHT,20.90625,33.65625
110,RIGHT,19.15625,33.65625
111,RIGHT,17.375,33.4375
112,RIGHT,15.75,33.0
113,RIGHT,14.15625,32.4375
114,RIGHT,12.625,31.5625
115,RIGHT,11.34375,30.46875
116,RIGHT,10.625,28.9375
117,RIGHT,10.3125,27.3125
118,RIGHT,9.9375,25.71875
119,RIGHT,8.78125,24.5625
120,RIGHT,7.25,24.125
121,RIGHT,5.6875,24.03125
122,RIGHT,4.0625,24.34375
123,RIGHT,2.5625,25.1875
124,RIGHT,1.125,26.1875
125,RIGHT,-0.40625,27.09375
126,RIGHT,-1.9375,27.75
127,RIGHT,-3.59375,28.03125
128,RIGHT,-5.15625,27.78125
129,RIGHT,-6.28125,26.6875
130,RIGHT,-6.8125,25.15625
131,RIGHT,-7.09375,23.5
132,RIGHT,-7.71875,22.03125
133,RIGHT,-8.84375,20.78125
134,RIGHT,-10.40625,20.5625
135,RIGHT,-12.03125,20.34375
136,RIGHT,-13.53125,19.875
137,RIGHT,-15.03125,19.21875
138,RIGHT,-16.09375,17.96875
139,RIGHT,-16.65625,16.46875
140,RIGHT,-16.6875,14.84375
141,RIGHT,-16.3125,13.3125
142,RIGHT,-15.65625,11.875
143,RIGHT,-14.59375,10.71875
144,RIGHT,-13.09375,9.875
145,RIGHT,-11.40625,9.46875
146,RIGHT,-9.84375,9.40625
147,RIGHT,-8.25,9.5625
148,RIGHT,-6.59375,9.875
149,RIGHT,-4.90625,10.125
150,RIGHT,-3.21875,10.34375
151,RIGHT,-1.625,10.5625
152,RIGHT,0.03125,10.78125
153,RIGHT,1.59375,10.84375
154,RIGHT,3.21875,10.84375
155,RIGHT,5.25,10.96875
