,Cone_Type,Cone_X,Cone_Y
0,LEFT,6.75,8.78125
1,LEFT,8.40625,8.90625
2,LEFT,9.96875,8.6875
3,LEFT,11.5625,8.34375
4,LEFT,12.8125,7.40625
5,LEFT,12.9375,5.84375
6,LEFT,12.59375,4.3125
7,LEFT,11.59375,3.03125
8,LEFT,10.125,2.21875
9,LEFT,8.40625,1.9375
10,LEFT,6.78125,1.71875
11,LEFT,5.21875,1.9375
12,LEFT,3.6875,2.46875
13,LEFT,2.3125,3.21875
14,LEFT,1.75,4.71875
15,LEFT,1.65625,6.3125
16,LEFT,2.90625,7.25
17,LEFT,4.25,8.1875
18,RIGHT,7.21875,11.5
19,RIGHT,8.8125,11.46875
20,RIGHT,10.40625,11.40625
21,RIGHT,12.03125,11.25
22,RIGHT,13.625,11.0
23,RIGHT,14.78125,9.875
24,RIGHT,15.4375,8.4375
25,RIGHT,15.8125,6.84375
26,RIGHT,15.71875,5.15625
27,RIGHT,15.34375,3.59375
28,RIGHT,14.6875,2.125
29,RIGHT,13.46875,1.0625
30,RIGHT,12.0625,0.34375
31,RIGHT,10.53125,0.0
32,RIGHT,8.9375,-0.28125
33,RIGHT,7.34375,-0.40625
34,RIGHT,5.78125,-0.40625
35,RIGHT,4.15625,-0.125
36,RIGHT,2.5625,0.40625
37,RIGHT,1.125,1.0625
38,RIGHT,-0.28125,1.9375
39,RIGHT,-1.15625,3.46875
40,RIGHT,-1.5625,5.125
41,RIGHT,-1.1875,6.65625
42,RIGHT,-0.3125,8.0
43,RIGHT,0.65625,9.28125
44,RIGHT,1.75,10.40625
45,RIGHT,3.28125,11.03125
46,RIGHT,4.8125,11.34375
