,Cone_Type,Cone_X,Cone_Y
0,LEFT,8.1875,8.9375
1,LEFT,9.75,8.9375
2,LEFT,11.25,8.4375
3,LEFT,12.6875,7.75
4,LEFT,14.0625,6.96875
5,LEFT,15.3125,5.96875
6,LEFT,16.25,4.71875
7,LEFT,17.21875,3.28125
8,LEFT,18.34375,2.09375
9,LEFT,19.6875,1.15625
10,LEFT,21.15625,0.59375
11,LEFT,22.75,0.28125
12,LEFT,24.53125,0.21875
13,LEFT,26.09375,0.6875
14,LEFT,27.40625,1.59375
15,LEFT,28.3125,3.0625
16,LEFT,28.96875,4.5
17,LEFT,29.9375,5.78125
18,LEFT,31.3125,6.6875
19,LEFT,32.8125,7.21875
20,LEFT,34.40625,7.21875
21,LEFT,36.09375,6.9375
22,LEFT,37.65625,7.3125
23,LEFT,38.6875,8.53125
24,LEFT,39.40625,10.0625
25,LEFT,39.90625,11.6875
26,LEFT,40.0625,13.28125
27,LEFT,39.96875,15.0625
28,LEFT,39.59375,16.625
29,LEFT,38.59375,17.9375
30,LEFT,37.25,19.0
31,LEFT,35.71875,19.65625
32,LEFT,33.90625,20.0625
33,LEFT,32.125,20.15625
34,LEFT,30.53125,20.03125
35,LEFT,28.96875,20.15625
36,LEFT,27.1875,20.15625
37,LEFT,25.53125,19.8125
38,LEFT,24.125,19.0
39,LEFT,22.71875,18.0625
40,LEFT,21.25,17.5
41,LEFT,19.59375,17.4375
42,LEFT,18.03125,17.625
43,LEFT,16.40625,18.0
44,LEFT,14.90625,18.5
45,LEFT,13.375,19.15625
46,LEFT,11.75,19.6875
47,LEFT,10.0625,19.90625
48,LEFT,8.4375,19.96875
49,LEFT,6.875,20.0
50,LEFT,5.3125,20.0
51,LEFT,3.65625,19.6875
52,LEFT,2.125,19.03125
53,LEFT,0.78125,18.0625
54,LEFT,-0.5,16.90625
55,LEFT,-1.375,15.34375
56,LEFT,-1.6875,13.8125
57,LEFT,-1.625,12.125
58,LEFT,-1.09375,10.625
59,LEFT,-0.125,9.15625
60,LEFT,1.15625,8.1875
61,LEFT,2.75,7.84375
62,LEFT,4.34375,7.90625
63,LEFT,5.96875,8.21875
64,RIGHT,7.375,11.09375
65,RIGHT,9.03125,11.09375
66,RIGHT,10.71875,10.75
67,RIGHT,12.3125,10.4375
68,RIGHT,13.78125,9.75
69,RIGHT,15.28125,9.0
70,RIGHT,16.46875,7.96875
71,RIGHT,17.40625,6.65625
72,RIGHT,18.46875,5.34375
73,RIGHT,19.59375,4.125
74,RIGHT,20.78125,3.0625
75,RIGHT,22.25,2.46875
76,RIGHT,23.90625,2.46875
77,RIGHT,25.3125,3.3125
78,RIGHT,26.0,4.8125
79,RIGHT,26.90625,6.125
80,RIGHT,28.125,7.1875
81,RIGHT,29.40625,8.15625
82,RIGHT,30.875,8.8125
83,RIGHT,32.53125,9.0
84,RIGHT,34.1875,9.15625
85,RIGHT,35.875,9.25
86,RIGHT,37.0625,10.375
87,RIGHT,37.28125,11.96875
88,RIGHT,37.21875,13.59375
89,RIGHT,36.6875,15.15625
90,RIGHT,35.84375,16.5
91,RIGHT,34.5,17.375
92,RIGHT,33.0,17.96875
93,RIGHT,31.46875,18.34375
94,RIGHT,29.875,18.34375
95,RIGHT,28.3125,18.03125
96,RIGHT,26.90625,17.28125
97,RIGHT,25.5,16.59375
98,RIGHT,23.9375,16.21875
99,RIGHT,22.4375,15.75
100,RIGHT,20.875,15.5625
101,RIGHT,19.25,15.46875
102,RIGHT,17.625,15.53125
103,RIGHT,15.90625,15.96875
104,RIGHT,14.40625,16.5625
105,RIGHT,12.9375,17.1875
106,RIGHT,11.40625,17.625
107,RIGHT,9.84375,17.84375
108,RIGHT,8.15625,17.90625
109,RIGHT,6.5625,17.9375
110,RIGHT,5.0,17.875
111,RIGHT,3.46875,17.34375
112,RIGHT,2.3125,16.15625
113,RIGHT,1.03125,14.96875
114,RIGHT,0.4375,13.4375
115,RIGHT,0.53125,11.875
116,RIGHT,1.25,10.46875
117,RIGHT,2.6875,9.8125
118,RIGHT,4.21875,10.34375
119,RIGHT,5.6875,10.90625
