,Cone_Type,Cone_X,Cone_Y
0,LEFT,8.40625,8.59375
1,LEFT,10.0625,8.34375
2,LEFT,11.6875,8.28125
3,LEFT,13.28125,8.4375
4,LEFT,14.9375,8.53125
5,LEFT,16.5625,8.71875
6,LEFT,18.1875,8.90625
7,LEFT,19.875,8.96875
8,LEFT,21.6875,8.9375
9,LEFT,23.625,8.8125
10,LEFT,25.1875,8.625
11,LEFT,26.75,8.78125
12,LEFT,28.3125,8.90625
13,LEFT,29.90625,8.84375
14,LEFT,31.5,8.84375
15,LEFT,33.125,9.15625
16,LEFT,34.5,9.9375
17,LEFT,35.15625,11.5625
18,LEFT,35.4375,13.1875
19,LEFT,35.5,14.75
20,LEFT,35.65625,16.46875
21,LEFT,35.71875,18.125
22,LEFT,35.75,19.78125
23,LEFT,35.75,21.34375
24,LEFT,35.28125,22.84375
25,LEFT,34.15625,24.0
26,LEFT,32.71875,24.6875
27,LEFT,31.1875,25.25
28,LEFT,29.59375,25.46875
29,LEFT,27.8125,25.4375
30,LEFT,26.0625,25.4375
31,LEFT,24.34375,25.4375
32,LEFT,22.625,25.46875
33,LEFT,21.0,25.5625
34,LEFT,19.4375,25.625
35,LEFT,17.75,25.625
36,LEFT,15.96875,25.65625
37,LEFT,14.25,25.75
38,LEFT,12.6875,25.875
39,LEFT,11.125,26.03125
40,LEFT,9.34375,26.03125
41,LEFT,7.71875,25.9375
42,LEFT,6.15625,25.9375
43,LEFT,4.53125,25.5
44,LEFT,3.25,24.53125
45,LEFT,2.28125,23.09375
46,LEFT,1.5,21.53125
47,LEFT,1.0,19.84375
48,LEFT,0.65625,18.125
49,LEFT,0.46875,16.5625
50,LEFT,0.40625,15.0
51,LEFT,0.46875,13.40625
52,LEFT,0.8125,11.78125
53,LEFT,1.1875,10.25
54,LEFT,2.25,8.96875
55,LEFT,4.09375,8.65625
56,LEFT,6.09375,8.6875
57,RIGHT,8.0625,10.75
58,RIGHT,9.6875,10.75
59,RIGHT,11.34375,10.71875
60,RIGHT,12.90625,10.75
61,RIGHT,14.46875,10.8125
62,RIGHT,16.1875,10.84375
63,RIGHT,17.875,10.84375
64,RIGHT,19.46875,10.9375
65,RIGHT,21.09375,11.09375
66,RIGHT,22.71875,11.09375
67,RIGHT,24.53125,11.1875
68,RIGHT,26.125,11.34375
69,RIGHT,27.6875,11.1875
70,RIGHT,29.3125,11.09375
71,RIGHT,30.84375,11.4375
72,RIGHT,32.09375,12.40625
73,RIGHT,32.40625,13.96875
74,RIGHT,32.4375,15.625
75,RIGHT,32.5,17.28125
76,RIGHT,32.6875,18.875
77,RIGHT,32.40625,20.4375
78,RIGHT,31.5,21.71875
79,RIGHT,29.9375,22.625
80,RIGHT,28.34375,22.90625
81,RIGHT,26.78125,22.875
82,RIGHT,25.21875,23.0
83,RIGHT,23.625,22.96875
84,RIGHT,21.96875,22.90625
85,RIGHT,20.3125,22.96875
86,RIGHT,18.75,23.09375
87,RIGHT,17.03125,23.09375
88,RIGHT,15.28125,23.09375
89,RIGHT,13.5,23.125
90,RIGHT,11.84375,23.21875
91,RIGHT,10.0,23.21875
92,RIGHT,8.40625,23.21875
93,RIGHT,6.8125,23.0625
94,RIGHT,5.28125,22.4375
95,RIGHT,4.3125,21.15625
96,RIGHT,3.9375,19.46875
97,RIGHT,3.625,17.84375
98,RIGHT,3.28125,16.28125
99,RIGHT,3.15625,14.625
100,RIGHT,3.0625,13.0625
101,RIGHT,4.15625,11.9375
102,RIGHT,5.53125,11.15625
